,ground-truth,linguist,go-enry,hyperpolyglot,cloc,pygments-filename,magika,pygments-file-content,guesslang
Success count,3039.0,3016.0,2733.0,1888.0,848.0,775.0,643.0,262.0,0.0
Error count,0.0,23.0,306.0,1151.0,2191.0,2264.0,2396.0,2777.0,3039.0
Success rate,100.0,99.24317209608424,89.93089832181639,62.12569924317209,27.903915761763738,25.50180980585719,21.158275748601515,8.621256992431721,0.0
Error rate,0.0,0.756827903915763,10.069101678183614,37.87430075682791,72.09608423823626,74.49819019414281,78.84172425139849,91.37874300756827,100.0
