filename,linguist
Graph Modeling Language,1.22139644874
GraphQL,1.58600776732
Graphviz (DOT),0.79154462216
Groovy,2.35838116448
Groovy Server Pages,1.57614055632
HAProxy,2.17269240332
HCL,2.56507390948
HLSL,2.5864601359000003
HOCON,1.57964366832
HTML,3.57053732864
HTML+ECR,0.39690673158
HTML+EEX,1.1827277617399998
HTML+ERB,1.1887805067400001
HTML+Razor,0.78455438616
HXML,0.78536154616
Hack,12.2662389604
Haml,0.78339709016
Handlebars,0.79138721616
Hare,1.19147513374
Haskell,1.9737882239000002
HiveQL,0.79346143416
HolyC,1.9713718699
Hosts File,0.9901628651600001
Hy,1.18846015174
HyPhy,3.33901753664
IDL,2.0442841389
IGOR Pro,1.1892004757399999
INI,7.15270200586
Idris,0.39582970958
Ignore List,8.24067222118
ImageJ Macro,0.78332516716
Imba,0.39032009958
Inform 7,0.79288765916
Ink,1.9745423709
Inno Setup,0.79643433116
Ioke,0.39515530358
Isabelle,0.39816929658
Isabelle ROOT,0.41035134758
J,0.79750044416
JAR Manifest,0.39153642158
JCL,1.18329609474
JFlex,0.79053717116
JSON,14.23315185188
JSON with Comments,10.64650655466
JSON5,0.78749650516
JSONLD,0.39363363458
JSONiq,1.1659441361600003
Janet,1.17706221074
Jasmin,4.775151128640001
Java,4.41434707438
Java Properties,0.8212316801599999
Java Template Engine,0.39050557758
JavaScript,16.6843156992
JavaScript+ERB,0.40269298758
Jest Snapshot,0.39650074258
JetBrains MPS,1.18725725574
Jinja,0.79037381016
Jison,1.18145125874
Jison Lex,0.7901490841600001
Jolie,1.9682991908999998
Jsonnet,0.39676848858
Julia,0.7848288141599999
Jupyter Notebook,0.40313438958
Just,0.78713270316
KRL,0.39259567858
Kaitai Struct,0.7886113501600001
KakouneScript,1.18474223274
KerboScript,1.76029344774
KiCad Layout,6.33506568028
KiCad Legacy Layout,0.6200280155800001
KiCad Schematic,3.9656884790600007
Kickstart,1.8059984607400001
Kit,0.39756958658
Kotlin,0.39131321658
Kusto,1.63562699432
LFE,1.57286182732
LOLCODE,0.39901814158
LSL,0.79197300816
LTspice Symbol,0.41458222158
LabVIEW,4.35017747038
Lark,1.18563615074
Lasso,1.2247697287400001
Latte,0.79068960516
Lean,0.81027334116
Lean 4,0.41171449758
Less,0.38973167858
Lex,0.81729252216
LigoLANG,0.39615496658
Limbo,1.57302886374
Linker Script,1.59516746032
Linux Kernel Module,1.7457548977400004
