,ground-truth,linguist,go-enry,hyperpolyglot,cloc,pygments-filename,magika,pygments-file-content
Success count,3039.0,3029.0,2733.0,1888.0,869.0,801.0,698.0,262.0
Error count,0.0,10.0,306.0,1151.0,2170.0,2238.0,2341.0,2777.0
Success rate,100.0,99.67094438960184,89.93089832181639,62.12569924317209,28.594932543599867,26.3573543928924,22.96808160579138,8.621256992431721
Error rate,0.0,0.32905561039815723,10.069101678183614,37.87430075682791,71.40506745640013,73.6426456071076,77.03191839420862,91.37874300756827
