,ground-truth,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
TOML,1.0,0.0,0.5714285714285714,0.0,1.0,0.2857142857142857,0.0,0.2857142857142857
TSPLIB data,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TSQL,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
TSV,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0
TSX,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
TXL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Tact,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Talon,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Tcl,1.0,0.0,0.7142857142857143,0.5714285714285714,1.0,1.0,0.0,0.0
Tcsh,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
TeX,1.0,0.7142857142857143,1.0,1.0,1.0,0.0,0.0,0.0
Tea,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Terra,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Terraform Template,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Texinfo,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Text,1.0,0.11538461538461539,1.0,0.0,1.0,0.0,0.3076923076923077,0.6153846153846154
TextGrid,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TextMate Properties,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Thrift,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Toit,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Turing,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0
Turtle,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Type Language,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
TypeScript,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.0,0.6666666666666666
TypeSpec,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Typst,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Unity3D Asset,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Unix Assembly,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0
Uno,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
UnrealScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
UrWeb,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
V,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VBA,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VBScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
VCL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
VHDL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Valve Data Format,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Velocity Template Language,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Verilog,1.0,0.0,1.0,0.9285714285714286,1.0,1.0,0.35714285714285715,1.0
Vim Help File,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Vim Script,1.0,0.1111111111111111,0.8888888888888888,0.7777777777777778,1.0,0.0,0.0,0.0
Vim Snippet,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Visual Basic .NET,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0
Visual Basic 6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Volt,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Vue,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Vyper,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
WDL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
WGSL,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Wavefront Material,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Wavefront Object,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Web Ontology Language,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
WebAssembly Interface Type,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WebAssembly,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
WebIDL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
WebVTT,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Wget Config,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Whiley,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Wikitext,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Win32 Message File,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Windows Registry Entries,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Witcher Script,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Wollok,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
World of Warcraft Addon Data,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Wren,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
X BitMap,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
X Font Directory Index,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
X PixMap,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
X10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
XC,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
XCompose,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
XML Property List,1.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0
XML,1.0,0.7534246575342466,1.0,0.0,1.0,0.7123287671232876,0.8082191780821918,0.0273972602739726
XPages,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
XProc,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
XQuery,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
XS,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
XSLT,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Xojo,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Xonsh,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Xtend,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
YAML,1.0,0.5625,0.875,0.0,1.0,0.875,0.0,0.125
YANG,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
YARA,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666
YASnippet,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Yacc,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Yul,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ZAP,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ZIL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Zeek,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
ZenScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Zephir,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Zig,1.0,0.75,0.75,0.75,1.0,0.75,0.0,0.75
Zimpl,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
cURL Config,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
crontab,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
desktop,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5
dircolors,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
eC,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
edn,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
fish,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
hoon,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
iCalendar,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
jq,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
kvlang,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
mIRC Script,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
mcfunction,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
nanorc,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
omnetpp-msg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omnetpp-ned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
reStructuredText,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
robots.txt,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
sed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
templ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vCard,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wisp,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
xBase,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0
