,ground-truth,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
Latte,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Lean 4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lean,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Less,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Lex,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0
LigoLANG,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Limbo,1.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666
Linker Script,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Linux Kernel Module,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Liquid,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Literate Agda,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Literate CoffeeScript,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0
LiveCode Script,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LiveScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Logos,1.0,1.0,1.0,1.0,1.0,0.0,0.8,1.0
Logtalk,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
LookML,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
LoomScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Lua,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0.0,0.0
Luau,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
M,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
M4,1.0,0.8,1.0,0.6,1.0,1.0,0.0,0.0
M4Sugar,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MATLAB,1.0,1.0,1.0,1.0,1.0,1.0,0.717948717948718,0.0
MAXScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MDX,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MLIR,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MQL4,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MQL5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MTML,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MUF,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Macaulay2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Makefile,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0
Markdown,1.0,0.7,1.0,0.0,1.0,0.8,0.0,0.2
Marko,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Mask,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Mathematica,1.0,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.16666666666666666
Maven POM,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Max,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Mercury,1.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0
Mermaid,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Meson,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0
Metal,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Microsoft Developer Studio Project,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Microsoft Visual Studio Solution,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
MiniYAML,1.0,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0
Mint,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Modelica,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Modula-2,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Modula-3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Module Management System,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Mojo,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Monkey C,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Monkey,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2
Moocode,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
MoonBit,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MoonScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Motoko,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Motorola 68K Assembly,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Move,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Muse,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Mustache,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
NASL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
NCL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
NEON,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
NL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
NMODL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NPM Config,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
NSIS,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
NWScript,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Nasal,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Nearley,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Nemerle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
NetLinx+ERB,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
NetLinx,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
NetLogo,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
NewLisp,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
Nextflow,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Nginx,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333
Nim,1.0,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.0
Nit,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Nix,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Noir,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nu,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Nunjucks,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Nushell,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OASv2-json,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OASv2-yaml,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OASv3-json,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OASv3-yaml,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OCaml,1.0,1.0,1.0,1.0,1.0,0.9,0.0,0.9
Oberon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Object Data Instance Notation,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ObjectScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Objective-C++,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Objective-C,1.0,0.5454545454545454,1.0,1.0,1.0,0.0,0.8636363636363636,0.5454545454545454
Objective-J,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Odin,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Omgrofl,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Opa,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Opal,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Open Policy Agent,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
OpenCL,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
OpenEdge ABL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
OpenQASM,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
OpenRC runscript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
OpenSCAD,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
OpenStep Property List,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Option List,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Org,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Ox,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Oxygene,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Oz,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
P4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PDDL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PEG.js,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0
PHP,1.0,0.8947368421052632,1.0,1.0,1.0,0.8947368421052632,0.0,0.5789473684210527
PLSQL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PLpgSQL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
POV-Ray SDL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Pact,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pan,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Papyrus,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Parrot Assembly,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Parrot Internal Representation,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Pascal,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,0.7692307692307693,0.0,0.0
Pawn,1.0,0.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.14285714285714285
Pep8,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Perl,1.0,0.7777777777777778,0.9259259259259259,0.9259259259259259,1.0,0.7777777777777778,0.6296296296296297,0.0
Pic,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Pickle,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
PicoLisp,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PigLatin,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Pike,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Pip Requirements,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pkl,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PlantUML,1.0,0.5714285714285714,1.0,0.0,1.0,0.0,0.0,0.0
Pod 6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pod,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
PogoScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Polar,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pony,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Portugol,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
PostCSS,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PostScript,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333
PowerBuilder,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PowerShell,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75
Praat,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Prisma,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Processing,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Procfile,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Proguard,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Prolog,1.0,0.9,0.9,0.9,1.0,1.0,0.0,0.6
Promela,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Propeller Spin,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Protocol Buffer Text Format,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Protocol Buffer,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Public Key,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pug,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Puppet,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
PureBasic,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PureScript,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Pyret,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Python,1.0,0.8095238095238095,1.0,1.0,1.0,0.8571428571428571,0.5714285714285714,0.2857142857142857
Q#,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
QML,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
QMake,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Qt Script,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Quake,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
QuickBASIC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
R,1.0,0.5,1.0,1.0,1.0,0.625,0.0,0.0
RAML,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RBS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RDoc,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
REXX,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75
RMarkdown,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
RON,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RPC,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RPGLE,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
RPM Spec,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
RUNOFF,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Racket,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Ragel,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Raku,1.0,0.20833333333333334,1.0,0.9166666666666666,1.0,0.0,0.0,0.0
Rascal,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ReScript,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Readline Config,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Reason,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ReasonLIGO,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Rebol,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666
Record Jar,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Red,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Redirect Rules,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Regular Expression,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
RenPy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RenderScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Rez,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rich Text Format,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Ring,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Riot,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
