filename,hyperpolyglot,go-enry,magika,pygments-filename,cloc,pygments-file-content,linguist,guesslang,starcoder2-3b
TOTAL,47.75869614674,84.97542910064,247.32012492990003,404.35258474272,655.0007453542801,749.1968809438201,1436.9639341817601,7684.93445600278,44452.2334954992
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,0.01563534566,0.026444377760000002,0.08127570810000001,0.12958646348,0.21244188352,0.23381016938000002,0.44277754884000003,2.52094765712,15.57028862152
/samples/1C Enterprise/Catalog.Товары.Command.ПечатьПрайсЛиста.CommandModule.bsl,0.01561187866,0.02674885976,0.0748704941,0.13088353448,0.21256156852000002,0.22535203038,0.43665666684000004,2.57953130412,14.91142183452
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,0.01484445666,0.02717382476,0.0781005631,0.12952531748,0.21173514852,0.23038968238000002,0.43563744184000003,2.6078044931199997,13.73511474352
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,0.01677327766,0.02834863076,0.0767626971,0.13052302848,0.21581787752,0.22665083938000002,0.43910601284,2.54803321512,14.04187578552
/samples/1C Enterprise/ci_before_script.os,0.01682687166,0.02822200676,0.0750467601,0.13172241948,0.21450336752000002,0.22889316438,0.43449085184,2.49348785412,12.60535318652
/samples/1C Enterprise/test_canCompile.os,0.014741860660000002,0.02839393076,0.0815630381,0.12988655748,0.22053308052,0.22331826838000002,0.43408116384,2.54707152612,14.84112877952
/samples/2-Dimensional Array/appearance.2da,0.01586837366,0.02695215376,0.07711154810000001,0.13197380948,0.21373245352,0.22578078638000001,0.45253965584000005,2.5759016881199996,16.03642366652
/samples/2-Dimensional Array/tailmodel.2da,0.014694798660000001,0.02438616876,0.0812505661,0.13052511948,0.21432416452,0.22422572238000002,0.45434679584000004,2.57186974112,13.37754805452
/samples/4D/generate_project.4dm,0.015411942660000002,0.02831251176,0.0764839621,0.13136119248,0.21260270052000002,0.24201284038,0.44712805484,2.59892200512,13.23888184552
/samples/4D/play_with_classes.4dm,0.015232703660000001,0.02680875376,0.0760631041,0.13111838848,0.21264276152,0.24695237538000003,0.45747688384,2.56613550712,15.50755825152
/samples/4D/test_webServerStart.4dm,0.014648116660000002,0.02867563676,0.0759309091,0.13036209248,0.21271693752,0.24161895338000003,0.45635708884000004,2.64631804312,14.02185813452
/samples/4D/webArea.4dm,0.015568793660000002,0.02755160776,0.07372169910000001,0.13222393848,0.21300347652,0.23538928438000004,0.46066205584000003,2.62072320912,16.62715172552
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,0.015455194660000003,0.02952930376,0.0907269971,0.13170123448,0.21289817052,0.22900079538,0.45581952484000005,2.52309141812,15.86928411852
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,0.014937990660000003,0.02928163476,0.08220821710000001,0.13399674048,0.21444784452,0.22983723338000003,0.45208933784000005,2.48710110612,17.29987298652
/samples/ABAP/cl_csv_parser.abap,0.015509264660000003,0.02876394976,0.07573435710000001,0.13307613448,0.21675761452,0.24477176938000003,0.43256319584,2.53880214412,14.911256716
/samples/ABNF/toml.abnf,0.015453166660000002,0.02991986876,0.0752511151,0.13587910048,0.21491722152,0.25369305038,0.47381550984000004,2.41171700612,14.43947099752
/samples/AGS Script/GlobalScript.asc,0.01615162366,0.02711118576,0.08214609710000001,0.13106818947999999,0.21589176352,0.22979711538000003,0.47449427284,2.44296892312,13.80963806952
/samples/AGS Script/GlobalScript.ash,0.015429916660000003,0.02533569976,0.0800907341,0.13147398548,0.21549005752,0.22601934438000001,0.45713666484000004,2.4138538171199997,18.43754504552
/samples/AGS Script/KeyboardMovement_102.asc,0.015597855660000002,0.02727909776,0.0912031751,0.13165890448,0.21409891952000001,0.22782613438000002,0.49592481184000003,2.4060439301199996,13.06425187552
/samples/AGS Script/KeyboardMovement_102.ash,0.01574959166,0.02679586576,0.0926855951,0.13084343848,0.21361282652000002,0.22962531138000003,0.45247423584,2.45727744412,13.77554605552
/samples/AIDL/ExtendableParcelable.aidl,0.015781048659999998,0.02870817276,0.0856282691,0.13023965048,0.21400557552000002,0.23121122738000002,0.44938668684000005,2.48660862712,13.55330453752
/samples/AIDL/IVoid.aidl,0.015130094660000001,0.02636866976,0.0800890311,0.13092095748,0.21397143352,0.24107236038000002,0.45198557084,2.49787986112,12.91896594652
/samples/AL/ALIssue.al,0.015592199660000002,0.02721119676,0.08797739310000001,0.13101940548,0.21325948452000001,0.23347753538000002,0.46819939084,2.6765615281199997,14.51431002952
/samples/AL/ALIssueList.al,0.014357779660000002,0.02664911776,0.07888362410000001,0.13159463748,0.21352087352000002,0.23180510938,0.47049932184000004,2.68121482312,12.97043559452
/samples/AL/RefreshALIssuesCode.al,0.014855104660000002,0.02647641276,0.08079960110000001,0.13136368248,0.21266700552,0.24351955038000003,0.46557186084,2.69159820412,13.52829021552
/samples/AMPL/CT2.mod,0.014971173660000002,0.02884803876,0.0799593291,0.13023534348,0.21257449152000002,0.26046200938,0.6716121498400001,2.59352628512,16.883124402
/samples/AMPL/toy.ampl,0.014492520660000001,0.02592894276,0.0812206501,0.12561494248,0.21381752752000002,0.25964846238,0.45392796284000003,2.5675084081199997,13.988452255
/samples/API Blueprint/actions.apib,0.01604746366,0.02774293576,0.0757513481,0.13286729648,0.21207476452000001,0.22493463738000002,0.43572282684,2.48241377012,14.03422301052
/samples/API Blueprint/attributes.apib,0.01540571666,0.02644143576,0.0765453041,0.13369235448,0.24063231352,0.22888047138000003,0.43425371084000003,2.67052685412,14.77768601052
