filename,cloc,go-enry,guesslang,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
1C Enterprise,1.28759292612,0.16533163056,15.29687604972,0.09443369096,2.62274968604,0.46761926060000003,1.3684141542800001,0.78212732088
2-Dimensional Array,0.42805661804,0.05133832252,5.14777142924,0.030563172320000002,0.9068864516800001,0.15836211420000001,0.45000650876000003,0.26249892896000004
4D,0.8509658760800001,0.11134851004,10.43209876448,0.06086155664000001,1.8216240833600001,0.3021996744,0.9659734535200001,0.52506561192
ABAP,0.21675761452,0.02876394976,2.53880214412,0.015509264660000003,0.43256319584,0.07573435710000001,0.24477176938000003,0.13307613448
ABAP CDS,0.42734601504,0.05881093852,5.01019252424,0.030393185320000005,0.90790886268,0.17293521420000002,0.45883802876,0.26569797496
ABNF,0.21491722152,0.02991986876,2.41171700612,0.015453166660000002,0.47381550984000004,0.0752511151,0.25369305038,0.13587910048
AGS Script,0.8590935670800001,0.10652184904,9.72014411448,0.06292898764,1.8800299853600002,0.34612560140000004,0.9132679055200001,0.52504451792
AIDL,0.42797700904,0.05507684252,4.98448848824,0.03091114332,0.9013722576800001,0.1657173002,0.47228358776,0.26116060795999996
AL,0.63944736356,0.08033672728,8.04937455536,0.04480508398000001,1.40427057352,0.24766061830000002,0.7088021951400001,0.39397772544
AMPL,0.42639201904,0.054776981520000004,5.1610346932399995,0.029463694320000004,1.12554011268,0.1611799792,0.52011047176,0.25585028596
API Blueprint,0.66418239856,0.08404724628,7.54756875136,0.04674427198,1.2980276485200002,0.22689091430000002,0.6787310691400001,0.40064355644
APL,0.64692196356,0.07802138727999999,7.20586575342,0.04659455298,1.3728122075200002,0.22966037730000002,0.6797398441400001,0.38098744844
ASL,0.42596385304,0.05426520652,4.98574588724,0.03249015032,0.8593283096800001,0.1669299172,0.5011843437600001,0.26275672796
ASN.1,0.21292254152,0.02650715676,2.57653303612,0.01513109066,0.43483964384,0.0768605291,0.24107541738000002,0.13001899048
ASP.NET,0.8573591610800001,0.11210920604,9.99347787448,0.06473145464,1.73174978736,0.3100986354,1.0083092365200002,0.5599468589200001
ATS,1.92213654468,0.25387925884,22.693869839079998,0.14611752794,4.07297742256,0.7143641259,2.23545886442,1.20134784532
ActionScript,0.87410047508,0.11944226504,9.885425231560001,0.06370400064,1.8772300433600002,0.3385538264,0.9439481365200001,0.5111792939199999
Adblock Filter List,1.0738469886000002,0.1310248668,12.336084287599999,0.0767226133,2.4501263732000003,0.4295011315,1.1000602269000002,0.6569101234
Adobe Font Metrics,0.64405132256,0.08120131828,7.515189534420001,0.04786972098,1.3731930645200001,0.2595666513,0.6471354371400001,0.38280258844
Agda,0.21513484752,0.02634522676,2.4322868881199997,0.015401602660000001,0.45787008184000005,0.0764439821,0.23079598138000001,0.13057017148
Alloy,0.63763804556,0.08274418428,7.527813559359999,0.046117566980000003,1.37397984552,0.23041417330000002,0.75250734614,0.39966478544
Alpine Abuild,0.21934831652,0.02944079576,2.4916721481199997,0.01660161566,0.44061980984000004,0.0974930571,0.22082130238000003,0.13039538747999999
Altium Designer,0.8599208380800001,0.12839447304,9.90001133356,0.062375856640000005,1.8463665453600002,0.3542307454,0.8604136335200001,0.51249201192
AngelScript,0.43028877404000004,0.059233077519999996,5.29753663224,0.02980097232,1.33820717068,0.15178490020000002,0.51087030976,0.26699576496
Ant Build System,0.21795902052000002,0.02781948076,2.4684792711199997,0.01601553466,0.45035575584000004,0.0791946541,0.22668481238000002,0.13806231248
Antlers,1.0713312086,0.1367307908,12.622061690599999,0.08110120330000001,2.2751907512000002,0.4246007155,1.1707736779000002,0.6878219594
ApacheConf,0.85038220008,0.11052955504,10.38515064348,0.06528069764,2.05719402036,0.36108544740000004,1.02310118052,0.55073431992
Apex,1.93758434968,0.27177765684,22.92642347108,0.14305013494,6.0457985155600005,0.7605255559,2.41278111142,1.18090356632
Apollo Guidance Computer,0.21619953852,0.026800084760000002,2.3998330211199996,0.014959960660000002,0.44444933784,0.07956810710000001,0.22608663138,0.13278474848
AppleScript,1.51199763764,0.18509623732,17.97629907484,0.10700557262,3.21633678288,0.5900301247,1.6018729876600002,0.94354443236
AsciiDoc,0.6427748145600001,0.08553902328,7.398501340420001,0.046953348980000004,1.38460833152,0.2675083623,0.7562906641400001,0.37917309643999997
AspectJ,0.42817192904,0.05130292352,5.17770253524,0.030893948319999996,0.89670306168,0.16549215020000002,0.47253539176000003,0.27261983996
Assembly,2.3766240027200003,0.34102911736,28.13613891032,0.16728250926000002,6.24759910924,0.8580008571000001,2.7443743631800004,1.48062347128
Astro,0.21285145452,0.027803421760000002,2.55993420612,0.01586045066,0.45644136684000003,0.0969244021,0.23789802638000002,0.13650885348
Asymptote,0.44914750104,0.05263260352,5.29244710524,0.03089081932,0.95522898268,0.1759374702,0.46622387776000007,0.26421268596
AutoHotkey,0.21622803852,0.02753051076,2.41958109012,0.015383733660000001,0.44853407384000005,0.0910443041,0.22428338738000003,0.13288597948
Avro IDL,0.21341977452000002,0.02815995176,2.76145818912,0.01503669666,0.45588276784000004,0.0763705461,0.22762944738000002,0.13048267448
Awk,0.21327830652000002,0.02940016176,2.56872164112,0.01487709566,0.45969075584,0.0931758251,0.24651993738000003,0.13428843848
B4X,0.64576509756,0.08085179428,7.63019610736,0.047804428979999994,1.41105888752,0.2711823493,0.74161145514,0.42829439744
BASIC,0.85092592708,0.11306821104,10.13563357048,0.06343835064,1.7891765323600002,0.3596732194,1.00224006752,0.54581483992
