,ground-truth,linguist,go-enry,hyperpolyglot,cloc,pygments-filename,magika,starcoder2,pygments-file-content
Success count,3039.0,3029.0,2733.0,1888.0,848.0,775.0,656.0,293.0,262.0
Error count,0.0,10.0,306.0,1151.0,2191.0,2264.0,2383.0,2746.0,2777.0
Success rate,100.0,99.67094438960184,89.93089832181639,62.12569924317209,27.903915761763738,25.50180980585719,21.586048042119117,9.641329384666008,8.621256992431721
Error rate,0.0,0.32905561039815723,10.069101678183614,37.87430075682791,72.09608423823626,74.49819019414281,78.41395195788088,90.35867061533399,91.37874300756827
